Travel ID,User ID,Travel/Stop,Trip Index,Start Time,End Time,Duration (Seconds),Start Lat,Start Lon,End Lat,End Lon,Final Mode,Predicted Mode,Main Activity,Validated?
7964279,643,Stop,,2016-03-04 09:32:10 UTC,2016-03-04 09:36:18 UTC,248,,,1.324127325,103.9299726,LRT/MRT,Default,Change Mode/Transfer,TRUE
7964279-7964280,643,Travel,48,2016-03-04 09:36:18 UTC,2016-03-04 09:53:00 UTC,1002.0,1.3241273247291154,103.9299725799801,1.3261576857161161,103.94310996672606,Foot,Default,,true
7964280,643,Stop,,2016-03-04 09:53:00 UTC,2016-03-04 11:01:36 UTC,4116,,,1.326157686,103.94311,Foot,Default,Meal/Eating Break,TRUE
7964280-7964282,643,Travel,49,2016-03-04 11:01:36 UTC,2016-03-04 11:09:52 UTC,496.0,1.3261576857161161,103.94310996672606,1.3416557745881597,103.96476665523578,Car/Van,,,true
7964282,643,Stop,,2016-03-04 11:09:52 UTC,2016-03-04 13:07:16 UTC,7044,,,1.341655775,103.9647667,Car/Van,,Home,TRUE
7969326-7974517,643,Travel,50,2016-03-05 03:32:55 UTC,2016-03-05 03:34:59 UTC,124.0,1.3407399862251885,103.96313179863739,1.341803260925034,103.96435482175303,Foot,,,true
7974517,643,Stop,,2016-03-05 03:34:59 UTC,2016-03-05 07:28:27 UTC,14008,,,1.341803261,103.9643548,Foot,,Meal/Eating Break,TRUE
7974517-7974573,643,Travel,51,2016-03-05 07:28:27 UTC,2016-03-05 07:30:15 UTC,108.0,1.341803260925034,103.96435482175303,1.340540019556789,103.96332459797968,Foot,,,true
7974573,643,Stop,,2016-03-05 07:30:15 UTC,2016-03-05 07:38:47 UTC,512,,,1.34054002,103.9633246,Foot,,Change Mode/Transfer,TRUE
7974573-7974575,643,Travel,51,2016-03-05 07:38:47 UTC,2016-03-05 07:46:21 UTC,454.0,1.340540019556789,103.96332459797968,1.3272096715880324,103.94629540104657,Bus,Car/Van,,true
7974575,643,Stop,,2016-03-05 07:46:21 UTC,2016-03-05 07:51:30 UTC,309,,,1.327209672,103.9462954,Bus,Car/Van,Change Mode/Transfer,TRUE
7974575-7974578,643,Travel,51,2016-03-05 07:51:30 UTC,2016-03-05 08:31:26 UTC,2396.0,1.3272096715880324,103.94629540104657,1.264820265510847,103.82191547183189,LRT/MRT,,,true
7974578,643,Stop,,2016-03-05 08:31:26 UTC,2016-03-05 09:50:32 UTC,4746,,,1.264820266,103.8219155,LRT/MRT,,Shopping,TRUE
7974578-7974636,643,Travel,52,2016-03-05 09:50:32 UTC,2016-03-05 10:46:00 UTC,3328.0,1.264820265510847,103.82191547183189,1.2843891905194265,103.84386040593138,LRT/MRT,,,true
7974636,643,Stop,,2016-03-05 10:46:00 UTC,2016-03-05 13:08:38 UTC,8558,,,1.284389191,103.8438604,LRT/MRT,,Meal/Eating Break,TRUE
7974636-7974670,643,Travel,53,2016-03-05 13:08:38 UTC,2016-03-05 13:27:07 UTC,1109.0,1.2843891905194265,103.84386040593138,1.284184207378365,103.85020450475187,Foot,,,true
7974670,643,Stop,,2016-03-05 13:27:07 UTC,2016-03-05 13:29:16 UTC,129,,,1.284184207,103.8502045,Foot,,Change Mode/Transfer,TRUE
7974670-7974671,643,Travel,53,2016-03-05 13:29:16 UTC,2016-03-05 14:09:14 UTC,2398.0,1.284184207378365,103.85020450475187,1.3273418282844196,103.94657745027007,LRT/MRT,Default,,true
7974671,643,Stop,,2016-03-05 14:09:14 UTC,2016-03-05 14:12:00 UTC,166,,,1.327341828,103.9465775,LRT/MRT,Default,Change Mode/Transfer,TRUE
7974671-7974672,643,Travel,53,2016-03-05 14:12:00 UTC,2016-03-05 14:18:19 UTC,379.0,1.3273418282844196,103.94657745027007,1.3362398418345545,103.96321482376075,LRT/MRT,Car/Van,,true
7974672,643,Stop,,2016-03-05 14:18:19 UTC,2016-03-05 14:20:00 UTC,101,,,1.336239842,103.9632148,LRT/MRT,Car/Van,Change Mode/Transfer,TRUE
7974672-7975432,643,Travel,53,2016-03-05 14:20:00 UTC,2016-03-05 14:43:55 UTC,1435.0,1.3362398418345545,103.96321482376075,1.3397438687804706,103.96472590952763,Foot,,,true
7975432,643,Stop,,2016-03-05 14:43:55 UTC,2016-03-05 14:48:31 UTC,276,,,1.339743869,103.9647259,Foot,,--,TRUE
7975432-7975434,643,Travel,54,2016-03-05 14:48:31 UTC,2016-03-05 14:50:52 UTC,141.0,1.3397438687804706,103.96472590952763,1.3416604698939218,103.9640652497522,Foot,,,true
7975434,643,Stop,,2016-03-05 14:50:52 UTC,2016-03-05 22:25:28 UTC,27276,,,1.34166047,103.9640652,Foot,,Home,TRUE
7975434-7975443,643,Travel,55,2016-03-05 22:25:28 UTC,2016-03-05 22:28:14 UTC,166.0,1.3416604698939218,103.9640652497522,1.3405077042888178,103.96322379359384,Foot,,,true
7975443,643,Stop,,2016-03-05 22:28:14 UTC,2016-03-05 22:30:18 UTC,124,,,1.340507704,103.9632238,Foot,,Change Mode/Transfer,TRUE
7975443-7975444,643,Travel,55,2016-03-05 22:30:18 UTC,2016-03-05 22:39:11 UTC,533.0,1.3405077042888178,103.96322379359384,1.3628257500779393,103.98967025827062,Car/Van,,,true
7975444,643,Stop,,2016-03-05 22:39:11 UTC,2016-03-05 23:51:10 UTC,4319,,,1.36282575,103.9896703,Car/Van,,Meal/Eating Break,TRUE
7975444-7978060,643,Travel,56,2016-03-05 23:51:10 UTC,2016-03-05 23:58:03 UTC,413.0,1.3628257500779393,103.98967025827062,1.3646748408841134,103.9936261688909,Foot,,,true
